date,max_temp,min_temp
2021-06-01,20.3,10.8
2021-06-02,22.7,10.4
2021-06-03,20.4,12.0
2021-06-04,24.8,11.7
2021-06-05,22.2,10.3
2021-06-06,22.0,10.9
2021-06-07,20.6,10.5
2021-06-08,18.8,10.2
2021-06-09,17.9,8.7
2021-06-10,20.1,8.1
2021-06-11,23.7,8.3
2021-06-12,26.6,13.4
2021-06-13,24.5,15.5
2021-06-14,25.2,15.1
2022-06-01,27.8,10.8
2022-06-02,27.0,12.8
2022-06-03,22.1,13.1
2022-06-04,19.0,12.8
2022-06-05,18.3,14.2
2022-06-06,25.9,14.9
2022-06-07,27.2,11.5
2022-06-08,27.2,13.0
2022-06-09,31.7,12.5
2022-06-10,35.6,15.0
2022-06-11,31.5,16.6
2022-06-12,21.5,13.6
2022-06-13,24.6,11.6
2022-06-14,29.0,11.6
2023-06-01,16.8,9.4
2023-06-02,18.4,8.4
2023-06-03,20.7,9.7
2023-06-04,17.7,10.9
2023-06-05,16.0,9.8
2023-06-06,17.8,12.5
2023-06-07,18.7,11.8
2023-06-08,19.9,11.3
2023-06-09,19.2,11.7
2023-06-10,18.2,12.1
2023-06-11,16.6,11.5
2023-06-12,18.2,12.8
2023-06-13,18.9,12.3
2023-06-14,18.3,11.9
2024-06-01,23.4,10.5
2024-06-02,23.3,12.3
2024-06-03,23.4,14.6
2024-06-04,32.8,11.0
2024-06-05,30.9,16.0
2024-06-06,22.4,12.5
2024-06-07,18.1,11.0
2024-06-08,21.7,11.6
2024-06-09,24.4,11.4
2024-06-10,21.5,12.6
2024-06-11,27.4,12.2
2024-06-12,17.5,11.7
2024-06-13,18.4,11.0
2024-06-14,27.1,9.4
2025-06-01,21.4,10.8
2025-06-02,17.6,10.2
2025-06-03,19.1,10.8
2025-06-04,18.3,10.9
2025-06-05,17.6,11.6
2025-06-06,18.8,12.0
2025-06-07,20.4,11.6
2025-06-08,19.7,12.8
2025-06-09,23.1,13.1
2025-06-10,24.2,14.4
2025-06-11,24.5,12.2
2025-06-12,25.2,11.8
2025-06-13,25.2,11.0
2025-06-14,23.9,10.2
